id,filename,scene,view_id,input_type,scale,sigma,spp,model,task,psnr,ssim
scene1_19_cbm3d_gn10,scene1_019_CBM3D.png,scene1,19,GN,-,10,-,cbm3d,DN,32.899,0.921
scene1_19_ffdnet_gn10,scene1_019_FFDNet_denoised.png,scene1,19,GN,-,10,-,ffdnet,DN,35.14,0.948
scene1_19_cbm3d_gn25,scene1_019_CBM3D.png,scene1,19,GN,-,25,-,cbm3d,DN,28.335,0.804
scene1_19_ffdnet_gn25,scene1_019_FFDNet_denoised.png,scene1,19,GN,-,25,-,ffdnet,DN,30.422,0.873
scene1_19_cbm3d_rn32,scene1_019_CBM3D.png,scene1,19,RN,-,-,32,cbm3d,DN,27.823,0.77
scene1_19_ffdnet_rn32,scene1_019_FFDNet_denoised.png,scene1,19,RN,-,-,32,ffdnet,DN,4.636,0.15
scene1_24_cbm3d_gn10,scene1_024_CBM3D.png,scene1,24,GN,-,10,-,cbm3d,DN,33.197,0.914
scene1_15_cbm3d_rn32,scene1_015_CBM3D.png,scene1,15,RN,-,-,32,cbm3d,DN,28.373,0.794
scene1_15_ffdnet_rn32,scene1_015_FFDNet_denoised.png,scene1,15,RN,-,-,32,ffdnet,DN,4.446,0.152
scene1_24_ffdnet_gn10,scene1_024_FFDNet_denoised.png,scene1,24,GN,-,10,-,ffdnet,DN,35.404,0.943
scene1_24_cbm3d_gn25,scene1_024_CBM3D.png,scene1,24,GN,-,25,-,cbm3d,DN,28.731,0.792
scene1_24_ffdnet_gn25,scene1_024_FFDNet_denoised.png,scene1,24,GN,-,25,-,ffdnet,DN,30.736,0.861
scene1_24_cbm3d_rn32,scene1_024_CBM3D.png,scene1,24,RN,-,-,32,cbm3d,DN,28.293,0.768
scene1_24_ffdnet_rn32,scene1_024_FFDNet_denoised.png,scene1,24,RN,-,-,32,ffdnet,DN,4.263,0.145
scene1_25_cbm3d_gn10,scene1_025_CBM3D.png,scene1,25,GN,-,10,-,cbm3d,DN,33.122,0.916
scene1_25_ffdnet_gn10,scene1_025_FFDNet_denoised.png,scene1,25,GN,-,10,-,ffdnet,DN,35.352,0.944
scene1_25_cbm3d_gn25,scene1_025_CBM3D.png,scene1,25,GN,-,25,-,cbm3d,DN,28.663,0.8
scene1_25_ffdnet_gn25,scene1_025_FFDNet_denoised.png,scene1,25,GN,-,25,-,ffdnet,DN,30.675,0.866
scene1_16_cbm3d_gn10,scene1_016_CBM3D.png,scene1,16,GN,-,10,-,cbm3d,DN,33.12,0.92
scene1_16_ffdnet_gn10,scene1_016_FFDNet_denoised.png,scene1,16,GN,-,10,-,ffdnet,DN,35.314,0.945
scene1_25_cbm3d_rn32,scene1_025_CBM3D.png,scene1,25,RN,-,-,32,cbm3d,DN,28.241,0.774
scene1_25_ffdnet_rn32,scene1_025_FFDNet_denoised.png,scene1,25,RN,-,-,32,ffdnet,DN,4.461,0.147
scene1_26_cbm3d_gn10,scene1_026_CBM3D.png,scene1,26,GN,-,10,-,cbm3d,DN,33.03,0.921
scene1_26_ffdnet_gn10,scene1_026_FFDNet_denoised.png,scene1,26,GN,-,10,-,ffdnet,DN,35.319,0.948
scene1_26_cbm3d_gn25,scene1_026_CBM3D.png,scene1,26,GN,-,25,-,cbm3d,DN,28.55,0.813
scene1_26_ffdnet_gn25,scene1_026_FFDNet_denoised.png,scene1,26,GN,-,25,-,ffdnet,DN,30.636,0.877
scene1_26_cbm3d_rn32,scene1_026_CBM3D.png,scene1,26,RN,-,-,32,cbm3d,DN,28.175,0.787
scene1_26_ffdnet_rn32,scene1_026_FFDNet_denoised.png,scene1,26,RN,-,-,32,ffdnet,DN,4.846,0.149
scene1_16_cbm3d_gn25,scene1_016_CBM3D.png,scene1,16,GN,-,25,-,cbm3d,DN,28.6,0.814
scene1_16_ffdnet_gn25,scene1_016_FFDNet_denoised.png,scene1,16,GN,-,25,-,ffdnet,DN,30.69,0.877
scene1_27_cbm3d_gn10,scene1_027_CBM3D.png,scene1,27,GN,-,10,-,cbm3d,DN,33.019,0.923
scene1_27_ffdnet_gn10,scene1_027_FFDNet_denoised.png,scene1,27,GN,-,10,-,ffdnet,DN,35.345,0.95
scene1_27_cbm3d_gn25,scene1_027_CBM3D.png,scene1,27,GN,-,25,-,cbm3d,DN,28.551,0.822
scene1_27_ffdnet_gn25,scene1_027_FFDNet_denoised.png,scene1,27,GN,-,25,-,ffdnet,DN,30.67,0.883
scene1_27_cbm3d_rn32,scene1_027_CBM3D.png,scene1,27,RN,-,-,32,cbm3d,DN,28.187,0.795
scene1_27_ffdnet_rn32,scene1_027_FFDNet_denoised.png,scene1,27,RN,-,-,32,ffdnet,DN,5.049,0.153
scene1_29_cbm3d_gn10,scene1_029_CBM3D.png,scene1,29,GN,-,10,-,cbm3d,DN,33.358,0.923
scene1_29_ffdnet_gn10,scene1_029_FFDNet_denoised.png,scene1,29,GN,-,10,-,ffdnet,DN,35.636,0.948
scene1_29_cbm3d_gn25,scene1_029_CBM3D.png,scene1,29,GN,-,25,-,cbm3d,DN,28.934,0.829
scene1_29_ffdnet_gn25,scene1_029_FFDNet_denoised.png,scene1,29,GN,-,25,-,ffdnet,DN,31.015,0.883
scene1_16_cbm3d_rn32,scene1_016_CBM3D.png,scene1,16,RN,-,-,32,cbm3d,DN,28.048,0.782
scene1_16_ffdnet_rn32,scene1_016_FFDNet_denoised.png,scene1,16,RN,-,-,32,ffdnet,DN,4.526,0.152
scene1_29_cbm3d_rn32,scene1_029_CBM3D.png,scene1,29,RN,-,-,32,cbm3d,DN,28.669,0.809
scene1_29_ffdnet_rn32,scene1_029_FFDNet_denoised.png,scene1,29,RN,-,-,32,ffdnet,DN,4.988,0.163
scene2_0_cbm3d_gn10,scene2_000_CBM3D.png,scene2,0,GN,-,10,-,cbm3d,DN,35.095,0.871
scene2_0_ffdnet_gn10,scene2_000_FFDNet_denoised.png,scene2,0,GN,-,10,-,ffdnet,DN,36.886,0.912
scene2_0_cbm3d_gn25,scene2_000_CBM3D.png,scene2,0,GN,-,25,-,cbm3d,DN,31.963,0.774
scene2_0_ffdnet_gn25,scene2_000_FFDNet_denoised.png,scene2,0,GN,-,25,-,ffdnet,DN,33.488,0.831
scene2_0_cbm3d_rn32,scene2_000_CBM3D.png,scene2,0,RN,-,-,32,cbm3d,DN,30.971,0.757
scene2_0_ffdnet_rn32,scene2_000_FFDNet_denoised.png,scene2,0,RN,-,-,32,ffdnet,DN,3.18,0.248
scene2_1_cbm3d_gn10,scene2_001_CBM3D.png,scene2,1,GN,-,10,-,cbm3d,DN,35.034,0.87
scene2_1_ffdnet_gn10,scene2_001_FFDNet_denoised.png,scene2,1,GN,-,10,-,ffdnet,DN,36.844,0.912
scene1_17_cbm3d_gn10,scene1_017_CBM3D.png,scene1,17,GN,-,10,-,cbm3d,DN,32.916,0.921
scene2_1_cbm3d_gn25,scene2_001_CBM3D.png,scene2,1,GN,-,25,-,cbm3d,DN,31.862,0.771
scene1_17_ffdnet_gn10,scene1_017_FFDNet_denoised.png,scene1,17,GN,-,10,-,ffdnet,DN,35.151,0.947
scene2_1_ffdnet_gn25,scene2_001_FFDNet_denoised.png,scene2,1,GN,-,25,-,ffdnet,DN,33.358,0.828
scene2_1_cbm3d_rn32,scene2_001_CBM3D.png,scene2,1,RN,-,-,32,cbm3d,DN,30.925,0.757
scene2_1_ffdnet_rn32,scene2_001_FFDNet_denoised.png,scene2,1,RN,-,-,32,ffdnet,DN,3.068,0.237
scene2_2_cbm3d_gn10,scene2_002_CBM3D.png,scene2,2,GN,-,10,-,cbm3d,DN,35.038,0.869
scene2_2_ffdnet_gn10,scene2_002_FFDNet_denoised.png,scene2,2,GN,-,10,-,ffdnet,DN,36.829,0.911
scene2_2_cbm3d_gn25,scene2_002_CBM3D.png,scene2,2,GN,-,25,-,cbm3d,DN,31.849,0.77
scene2_2_ffdnet_gn25,scene2_002_FFDNet_denoised.png,scene2,2,GN,-,25,-,ffdnet,DN,33.357,0.826
scene2_2_cbm3d_rn32,scene2_002_CBM3D.png,scene2,2,RN,-,-,32,cbm3d,DN,30.91,0.757
scene2_2_ffdnet_rn32,scene2_002_FFDNet_denoised.png,scene2,2,RN,-,-,32,ffdnet,DN,2.926,0.222
scene2_3_cbm3d_gn10,scene2_003_CBM3D.png,scene2,3,GN,-,10,-,cbm3d,DN,35.084,0.87
scene2_3_ffdnet_gn10,scene2_003_FFDNet_denoised.png,scene2,3,GN,-,10,-,ffdnet,DN,36.883,0.912
scene1_17_cbm3d_gn25,scene1_017_CBM3D.png,scene1,17,GN,-,25,-,cbm3d,DN,28.334,0.811
scene1_17_ffdnet_gn25,scene1_017_FFDNet_denoised.png,scene1,17,GN,-,25,-,ffdnet,DN,30.456,0.877
scene2_3_cbm3d_gn25,scene2_003_CBM3D.png,scene2,3,GN,-,25,-,cbm3d,DN,31.909,0.772
scene2_3_ffdnet_gn25,scene2_003_FFDNet_denoised.png,scene2,3,GN,-,25,-,ffdnet,DN,33.389,0.827
scene2_3_cbm3d_rn32,scene2_003_CBM3D.png,scene2,3,RN,-,-,32,cbm3d,DN,30.929,0.76
scene2_3_ffdnet_rn32,scene2_003_FFDNet_denoised.png,scene2,3,RN,-,-,32,ffdnet,DN,2.742,0.211
scene2_4_cbm3d_gn10,scene2_004_CBM3D.png,scene2,4,GN,-,10,-,cbm3d,DN,35.163,0.87
scene2_4_ffdnet_gn10,scene2_004_FFDNet_denoised.png,scene2,4,GN,-,10,-,ffdnet,DN,36.96,0.912
scene2_4_cbm3d_gn25,scene2_004_CBM3D.png,scene2,4,GN,-,25,-,cbm3d,DN,32.029,0.776
scene2_4_ffdnet_gn25,scene2_004_FFDNet_denoised.png,scene2,4,GN,-,25,-,ffdnet,DN,33.489,0.829
scene2_4_cbm3d_rn32,scene2_004_CBM3D.png,scene2,4,RN,-,-,32,cbm3d,DN,31.023,0.763
scene2_4_ffdnet_rn32,scene2_004_FFDNet_denoised.png,scene2,4,RN,-,-,32,ffdnet,DN,2.61,0.202
scene2_5_cbm3d_gn10,scene2_005_CBM3D.png,scene2,5,GN,-,10,-,cbm3d,DN,35.274,0.871
scene2_5_ffdnet_gn10,scene2_005_FFDNet_denoised.png,scene2,5,GN,-,10,-,ffdnet,DN,37.045,0.911
scene1_17_cbm3d_rn32,scene1_017_CBM3D.png,scene1,17,RN,-,-,32,cbm3d,DN,27.797,0.777
scene1_17_ffdnet_rn32,scene1_017_FFDNet_denoised.png,scene1,17,RN,-,-,32,ffdnet,DN,4.573,0.15
scene2_5_cbm3d_gn25,scene2_005_CBM3D.png,scene2,5,GN,-,25,-,cbm3d,DN,32.18,0.781
scene2_5_ffdnet_gn25,scene2_005_FFDNet_denoised.png,scene2,5,GN,-,25,-,ffdnet,DN,33.611,0.83
scene2_5_cbm3d_rn32,scene2_005_CBM3D.png,scene2,5,RN,-,-,32,cbm3d,DN,31.168,0.769
scene2_5_ffdnet_rn32,scene2_005_FFDNet_denoised.png,scene2,5,RN,-,-,32,ffdnet,DN,2.566,0.207
scene2_6_cbm3d_gn10,scene2_006_CBM3D.png,scene2,6,GN,-,10,-,cbm3d,DN,35.372,0.876
