id,scene,view_id,input_type,scale,sigma,spp,model,task,filename,path,experiment_name
scene1_14_ffdnet_gn25,scene1,14,GN,-,25,-,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_014_FFDNet_denoised.png,denoise
scene1_14_cbm3d_gn25,scene1,14,GN,-,25,-,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_014_CBM3D.png,denoise
scene1_14_ffdnet_gn25,scene1,14,GN,-,25,-,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_014_FFDNet_denoised.png,denoise
scene1_14_cbm3d_rn32,scene1,14,RN,-,-,32,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_014_CBM3D.png,denoise
scene1_14_ffdnet_rn32,scene1,14,RN,-,-,32,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_014_FFDNet_denoised.png,denoise
scene1_15_cbm3d_gn10,scene1,15,GN,-,10,-,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_015_CBM3D.png,denoise
scene1_15_ffdnet_gn10,scene1,15,GN,-,10,-,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_015_FFDNet_denoised.png,denoise
scene1_15_cbm3d_gn25,scene1,15,GN,-,25,-,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_015_CBM3D.png,denoise
scene1_15_ffdnet_gn25,scene1,15,GN,-,25,-,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_015_FFDNet_denoised.png,denoise
scene1_15_cbm3d_rn32,scene1,15,RN,-,-,32,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_015_CBM3D.png,denoise
scene1_15_ffdnet_rn32,scene1,15,RN,-,-,32,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_015_FFDNet_denoised.png,denoise
scene1_14_cbm3d_rn32,scene1,14,RN,-,-,32,cbm3d,DN,scene1_014_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_014_CBM3D.png,denoise
scene1_14_ffdnet_rn32,scene1,14,RN,-,-,32,ffdnet,DN,scene1_014_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_014_FFDNet_denoised.png,denoise
scene1_16_cbm3d_gn10,scene1,16,GN,-,10,-,cbm3d,DN,scene1_016_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_016_CBM3D.png,denoise
scene1_16_ffdnet_gn10,scene1,16,GN,-,10,-,ffdnet,DN,scene1_016_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_016_FFDNet_denoised.png,denoise
scene1_16_cbm3d_gn25,scene1,16,GN,-,25,-,cbm3d,DN,scene1_016_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_016_CBM3D.png,denoise
scene1_16_ffdnet_gn25,scene1,16,GN,-,25,-,ffdnet,DN,scene1_016_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_016_FFDNet_denoised.png,denoise
scene1_16_cbm3d_rn32,scene1,16,RN,-,-,32,cbm3d,DN,scene1_016_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_016_CBM3D.png,denoise
scene1_16_ffdnet_rn32,scene1,16,RN,-,-,32,ffdnet,DN,scene1_016_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_016_FFDNet_denoised.png,denoise
scene1_17_cbm3d_gn10,scene1,17,GN,-,10,-,cbm3d,DN,scene1_017_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_017_CBM3D.png,denoise
scene1_17_ffdnet_gn10,scene1,17,GN,-,10,-,ffdnet,DN,scene1_017_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_017_FFDNet_denoised.png,denoise
scene1_15_cbm3d_gn10,scene1,15,GN,-,10,-,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_015_CBM3D.png,denoise
scene1_15_ffdnet_gn10,scene1,15,GN,-,10,-,ffdnet,DN,scene1_015_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_015_FFDNet_denoised.png,denoise
scene1_17_cbm3d_gn25,scene1,17,GN,-,25,-,cbm3d,DN,scene1_017_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_017_CBM3D.png,denoise
scene1_17_ffdnet_gn25,scene1,17,GN,-,25,-,ffdnet,DN,scene1_017_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_017_FFDNet_denoised.png,denoise
scene1_17_cbm3d_rn32,scene1,17,RN,-,-,32,cbm3d,DN,scene1_017_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_017_CBM3D.png,denoise
scene1_17_ffdnet_rn32,scene1,17,RN,-,-,32,ffdnet,DN,scene1_017_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_017_FFDNet_denoised.png,denoise
scene1_18_cbm3d_gn10,scene1,18,GN,-,10,-,cbm3d,DN,scene1_018_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_018_CBM3D.png,denoise
scene1_18_ffdnet_gn10,scene1,18,GN,-,10,-,ffdnet,DN,scene1_018_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_018_FFDNet_denoised.png,denoise
scene1_18_cbm3d_gn25,scene1,18,GN,-,25,-,cbm3d,DN,scene1_018_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_018_CBM3D.png,denoise
scene1_18_ffdnet_gn25,scene1,18,GN,-,25,-,ffdnet,DN,scene1_018_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_018_FFDNet_denoised.png,denoise
scene1_15_cbm3d_gn25,scene1,15,GN,-,25,-,cbm3d,DN,scene1_015_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_015_CBM3D.png,denoise
